userid	username	rating	text
840073561	['Jeffrey O']	2.5	"[""At least it was sort of original? Other than that...story is hoaky, dialogue is abysmal, most of the acting seemed lazy and dispassionate, somehow felt both rushed and slow at the same time, timeline makes no sense, way overdone CGI, and more annoying things that just don't make sense (why do energy cannons show a clear parabolic arc, much less in space?).""]"
977007867	['Claire R']	0.5	"[""The acting was great but the story writing was just aweful You know all the questions we had set up from TFA? Yeah, they disregarded all of those all well writing a story with more plot holes than Snokes face. I couldn't be more disappointed in this aweful writing.""]"
976967449	['Caleb D']	0.5	['Would not recommend for so many reasons. This movie was very poorly written and so many things about it make no sense at all. For sure in the bottom 3 worst Star Wars films, if not the worst.']
977007880	['James F']	0.5	['Horrible. Just watch any of the Youtube stuff skewering it for details.']
977007877	['Michael C']	4.0	['Really good movie better than Force Awakens equal with Return of the Jedi']
977007873	[]	2.5	['something just make no sense. I feel cheated. After my second viewing it became almost unwatchable']
950314473	['Rama C']	1.0	['A slap in the face to star wars fans and a story that ruins whatever was good about TFA. So many plot holes and pointless scenes. Truly an awful movie. Visually captivating, but that is it.']
927000436	['James F']	0.5	"[""I am a huge Star Wars fan and have been for decades. Got thousands of dollars worth of the toys and related merchandise sitting here in my gameroom/office with me. And as much as I wanted this movie to be good, it just isn't. It's really quite terrible. It makes me sad. I don't care about any of the characters in it, the acting is atrocious and awkward, the plot is nonsense, it's full of plot holes, the pacing is terrible, there is too much new-agey liberal crap, etc etc. I just can't deal with this. All I can hope for at this point is that I live long enough to see a complete Star Wars reboot.""]"
975026164	['Johnny R']	5.0	"[""I'm guess all the clueless bot who claim to not like this fantastic action film are not true Star Wars fans. It's everything you could want and more. Excellent fight scenes, solid acting, brilliant directing and visuals, and top notch writing. The Force is indeed strong in that one.""]"
977007866	[]	5.0	"[""C��st un chef d'ouvre, excellent�""]"
977007834	[]	0.5	"[""The more I think about the film, the more I realize what a horrible film it was. Storyline does not flow consistently. Dialogue was pitiful even cringey. Yes there is a lot of action but with little to no substance. Basically, it is an attempt at killing off all the main characters from the originals and my only shock is that they didn't go ahead and kill Chewbacca off in the process. I will not rewatch. I will not buy the DVD. At this point, not sure if I will watch Episode 9 because this movie sucked all the enthusiasm and magic of Star Wars out of me.""]"
