userid	username	rating	text
908984292	['Esteban R']	0.5	"[""the worst, that's not Luke and that's not a star wars; it even makes the prequels look better""]"
975953894	['Movie M']	3.5	"[""I've come to a conclusion. It is impossible to please aging Star War's fans. A new installment is never going to mean as much to you as the originals did when you were ten years old. Accept it. At the screening I attended, kids loved it. Are these new installments perfect? No. And neither was the original trilogy. Blasphemy? Watch them again, critiquing them as you would a new release. They are full of implausible moments and cheesy dialogue too. But they were highly entertaining nonetheless. And so is The Last Jedi. They could have written it a thousand ways. And if I was choosing, I'd have done it differently too. But it's as captivating as any of the original movies, if you can return to your inner child.""]"
977004639	['Ahmed E']	4.0	['Very funny movie you should watch it and good storyline suitable across all ages']
977006858	['Matt G']	2.0	"[""Shockingly disjointed narrative mixed with an at times cringe inducing and half-assed script keep any honest viewer from coming away happy. Considering it's pedigree, this picture is a bastard compared even to it's two most recent siblings. Fingers crossed JJ and Co. can manage to make a polished, coherent, and above all professional sequel.""]"
977006236	['Liz L']	5.0	['As a huge fan, I had high expectations and they were more than delivered. To say I loved it is an understatement. This movie had me fully engaged from beginning to end. One of the best movies I have seen...EVER!!!']
909964341	['Steven F']	0.5	['Total shit movie. A disgrace for all Star Wars fans']
977005468	['antonio f']	0.5	['hugely disrespectful with the fans']
977004688	['Rocky M']	0.5	"['This movie is riddled with political viewpoints and PC agenda slanting. If that does not turn you off then the horrible directing, lazy writing, flimsy plot points, gutless acting (Except Mark Hamil....) and insanely stupid narratives might turn you off too. IF FOR SOME REASON, you are able to walk past all those warning signs and you STILL have the swagger to walk into this movie, be warned that the ""critics"" have given it a high score and the viewers have not been as kind. Anytime someone tells me a movie or entertainment outlet is GREAT but I cant find more than 50% of all my contacts tell me, ""Yeah....I saw that. It was ok......"", you should be leary.']"
977007365	[]	0.5	['As an ordinary could go through but not as Star wars movie ! Utter shit as Star wars !']
977000180	[]	0.5	['Old tricks, re-cycled stories, zero originality, slow, very slow!!!! Painfully boring. You have to be missing half brain to say you like it.']
976942697	['Rodrigo F']	1.5	['While I can appreciate the new direction, the misdirects and the dropped subplots from the first film are hard to ignore.']
977006359	['Adam W']	3.0	['Very pretty, but a structural and narrative mess.']
977003905	['Squire P']	0.5	['From the very first scene it was obvious this movie was going to be trash. Thanks for ruining Star Wars Disney/ Rian Johnson. If you want a full detailed list of what went wrong with the film, let me know and I will take a day off from work to write that list.']
976949279	['scot s']	3.0	"[""a mess, unlike skywalker 1980's.. i care less now.""]"
977006489	['Grim R']	2.0	"[""Total nihilistic in it's storytelling. No regard to past established canon and no progression of the plots established in Force Awakens. There's nothing more to explore that fascinates me as a Star Wars fan."", ""It's stunning to look at, but that's expected."", 'So, maybe make it 420p next time to subvert our expectations.']"
977006501	[]	2.0	"['Awful. Time spent on things that didn\'t matter like milking hairless bears. Not enough time on the characters we wanted to know better. Plot holes. Discombobulated. I have never said ""what?"" To myself more times than I did during the viewing of this film. I couldn\'t wait until it ended.']"
975655080	['Hailey S']	5.0	['An interesting and entertaining movie. Something completely different from the other movies that put some more depth into the world and characters that I felt it needed. Plenty of amazing space battles, fun scenes, and dramatic twists to go around as well.']
